Transaction_ID,Time,Amount,Location,Transaction_Type,Old_Balance,Is_International,New_Balance,Bank_Name,Bank_Branch,Device_Type,Customer_ID,Customer_Name,Age,Gender,City,KYC_Status,Account_Type,Customer_Since_Years,Avg_Monthly_Balance,Account_Number,Time_Normalized,Amount_Normalized,Location_Normalized,Transaction_Type_Normalized,Old_Balance_Normalized,New_Balance_Normalized,Bank_Name_Normalized,Bank_Branch_Normalized,Device_Type_Normalized,Customer_Name_Normalized,Age_Normalized,Gender_Normalized,City_Normalized,KYC_Status_Normalized,Account_Type_Normalized,Customer_Since_Years_Normalized,Avg_Monthly_Balance_Normalized,Time_Standardized,Amount_Standardized,Location_Standardized,Transaction_Type_Standardized,Old_Balance_Standardized,New_Balance_Standardized,Bank_Name_Standardized,Bank_Branch_Standardized,Device_Type_Standardized,Customer_Name_Standardized,Age_Standardized,Gender_Standardized,City_Standardized,KYC_Status_Standardized,Account_Type_Standardized,Customer_Since_Years_Standardized,Avg_Monthly_Balance_Standardized
TXN3SM2O8Y1QP,72,23993.75,0,2,23174.27,0,0,2,1,1,CUST46024605,0,54,1,1,2,2,8.5,155391.32,AC100000,0.072361809,0.084356538,0,1,0.222944026,0,0.4,0.25,0.5,0,0.705882353,0.5,0.2,1,1,0.566666667,0.30890883,-1.466395882,-0.151890101,-1.280714334,1.268405312,-1.008841675,-1.159551385,-0.362850345,-0.616114263,0.019498957,-1.510833944,0.776508042,-0.00436715,-0.803565211,0.808126468,1.193833944,0.258711956,-0.69933833
TXNG4V233GKAH,285,19211.43,0,0,23279.15,0,4067.72,5,0,1,CUST49756567,5,66,0,1,1,1,2.4,60620.72,AC100001,0.286432161,0.067499534,0,0,0.224008097,0.042717189,1,0,0.5,1,0.941176471,0,0.2,0.5,0.5,0.16,0.118600177,-0.72542531,-0.356026846,-1.280714334,-1.219817205,-1.005099065,-1.004338485,1.501868239,-1.339249581,0.019498957,1.510212969,1.614748616,-1.420779459,-0.803565211,-0.407185825,-0.022501582,-1.122163109,-1.375025765
TXNGY44CGSGRP,180,11990.81,2,1,79599.01,0,67608.2,2,4,1,CUST04079182,3,66,1,4,2,0,13.9,282716,AC100002,0.180904523,0.042047867,0.666666667,0.5,0.795407246,0.709987973,0.4,1,0.5,0.6,0.941176471,0.5,0.8,1,0,0.926666667,0.564589268,-1.090692493,-0.664244169,0.483100311,0.024294053,1.00465798,1.420189796,-0.362850345,1.553291689,0.019498957,0.301794203,1.614748616,-0.00436715,1.009113963,0.808126468,-1.238837109,1.481125948,0.208450441
IMPS86TGY1RG3C,325,45597.03,2,2,13387.4,0,0,5,1,0,CUST99493753,2,34,1,3,0,0,0.9,262845.21,AC100003,0.326633166,0.160505054,0.666666667,1,0.123650292,0,1,0.25,0,0.4,0.31372549,0.5,0.6,0,0,0.06,0.524686774,-0.586275907,0.770261338,0.483100311,1.268405312,-1.358083149,-1.159551385,1.501868239,-0.616114263,-1.439922966,-0.302415179,-0.620559581,-0.00436715,0.404887572,-1.622498117,-1.238837109,-1.461722552,0.066777357
IMPSBWU343Q2HU,129,29414.82,3,1,28909.99,0,0,4,4,1,CUST26443183,1,43.01982379,1,1,0,1,6.9,102897.76,AC100004,0.129648241,0.103465046,1,0.5,0.281136385,0,0.8,1,0.5,0.2,0.49058478,0.5,0.2,0,0.5,0.46,0.203496617,-1.268107982,0.079512144,1.365007634,0.024294053,-0.804164255,-1.159551385,0.880295378,1.553291689,0.019498957,-0.906624562,0.009505608,-0.00436715,-0.803565211,-1.622498117,-0.022501582,-0.103484782,-1.073602489
TXNVQXHD6FZLO,548,47431.74,1,1,37017.15,0,0,3,4,2,CUST53503820,3,29,1,2,2,2,10.9,252757.69,AC100005,0.550753769,0.166972149,0.333333333,0.5,0.363388442,0,0.6,1,1,0.6,0.215686275,0.5,0.4,1,1,0.726666667,0.504430045,0.189482016,0.848577244,-0.398807011,0.024294053,-0.51486272,-1.159551385,0.258722517,1.553291689,1.47892088,0.301794203,-0.969826487,-0.00436715,-0.19933882,0.808126468,1.193833944,0.802007064,-0.005143793
UPIFIO4ISBQFZ,542,19889.08,0,1,76426.48,0,56537.4,5,3,1,CUST33617183,3,44,1,1,2,2,12.8,20285.47,AC100006,0.544723618,0.069888155,0,0.5,0.763220005,0.593727891,1,0.75,0.5,0.6,0.509803922,0.5,0.2,1,1,0.853333333,0.037603041,0.168609606,-0.327100872,-1.280714334,0.024294053,0.891447213,0.997758809,1.501868239,0.830156372,0.019498957,0.301794203,0.077974231,-0.00436715,-0.803565211,0.808126468,1.193833944,1.232115691,-1.662604631
UPI7PLFU43O72,171,22976.5,1,2,17118.69,0,0,3,0,1,CUST55365016,1,43.01982379,1,3,0,2,0.2,144970.16,AC100007,0.171859296,0.080770875,0.333333333,1,0.161506493,0,0.6,0,0.5,0.2,0.49058478,0.5,0.6,0,1,0.013333333,0.28798212,-1.122001109,-0.195312144,-0.398807011,1.268405312,-1.224933203,-1.159551385,0.258722517,-1.339249581,0.019498957,-0.906624562,0.009505608,-0.00436715,0.404887572,-1.622498117,1.193833944,-1.620183625,-0.773638238
IMPSOUS19XVX4Y,897,26088.97,0,0,47483.03,1,21394.06,0,4,0,CUST68406255,3,43.01982379,0,5,0,0,8.6,245685.15,AC100008,0.901507538,0.091741893,0,0,0.469571144,0.224669867,0,1,0,0.6,0.49058478,0,1,0,0,0.573333333,0.490227691,1.403560559,-0.062454139,-1.280714334,-1.219817205,-0.141390981,-0.343213461,-1.605996067,1.553291689,-1.439922966,0.301794203,0.009505608,-1.420779459,1.613340355,-1.622498117,-1.238837109,0.281349252,-0.055568992
TXN83O56Y81PH,425,42030.6,3,0,60700.92,0,18670.32,3,3,1,CUST55734339,3,46,2,0,2,0,2.8,189551.28,AC100009,0.427135678,0.147933892,1,0,0.603674658,0.196066493,0.6,0.75,0.5,0.6,0.549019608,1,0,1,0,0.186666667,0.377505378,-0.238402399,0.618025725,1.365007634,-1.219817205,0.330285396,-0.447143816,0.258722517,0.830156372,0.019498957,0.301794203,0.217680993,1.412045159,-1.407791603,0.808126468,-1.238837109,-1.031613925,-0.455787527
