Transaction_ID,Time,Amount,Location,Transaction_Type,Old_Balance,Is_International,New_Balance,Bank_Name,Bank_Branch,Device_Type,Customer_ID,Customer_Name,Age,Gender,City,KYC_Status,Account_Type,Customer_Since_Years,Avg_Monthly_Balance,Account_Number
TXN3SM2O8Y1QP,01:28:07,23993.75,Bangalore,POS,23174.27,0,0.0,ICICI,Chennai South,Mobile,CUST46024605,Amit Sharma,54.0,Male,Chennai,,Savings,8.5,155391.32,AC100000
TXNG4V233GKAH,06:24:09,19211.43,Bangalore,ATM,23279.15,0,4067.720000000001,SBI,Bangalore East,Mobile,CUST49756567,Vikas Yadav,66.0,Female,Chennai,Rejected,Salary,2.4,60620.72,AC100001
TXNGY44CGSGRP,03:40:34,11990.81,Delhi,Online,79599.01,0,67608.2,ICICI,Mumbai Central,Mobile,CUST04079182,Rahul Singh,66.0,,Lucknow,,Current,13.9,282716.0,AC100002
IMPS86TGY1RG3C,07:07:38,45597.03,Delhi,POS,13387.4,0,0.0,SBI,,ATM,CUST99493753,Priya Verma,34.0,Male,Kolkata,Pending,Current,0.9,262845.21,AC100003
IMPSBWU343Q2HU,02:35:37,29414.82,Mumbai,Online,28909.99,0,0.0,PNB,Mumbai Central,Mobile,CUST26443183,Neha Joshi,,Male,,Pending,Salary,6.9,102897.76,AC100004
TXNVQXHD6FZLO,12:53:47,47431.74,Dehradun,Online,37017.15,0,0.0,Kotak,Mumbai Central,Web,CUST53503820,Rahul Singh,29.0,Male,Delhi,,Savings,10.9,252757.69,AC100005
UPIFIO4ISBQFZ,12:39:47,19889.08,Bangalore,Online,76426.48,0,56537.4,SBI,Kolkata North,,CUST33617183,Rahul Singh,44.0,Male,Chennai,Verified,Savings,12.8,20285.47,AC100006
UPI7PLFU43O72,03:23:05,22976.5,Dehradun,POS,17118.69,0,0.0,Kotak,Bangalore East,Mobile,CUST55365016,Neha Joshi,,,Kolkata,Pending,Savings,0.2,144970.16,AC100007
IMPSOUS19XVX4Y,21:29:31,26088.97,Bangalore,ATM,47483.03,1,21394.06,Axis,Mumbai Central,ATM,CUST68406255,Rahul Singh,,Female,Mumbai,Pending,Current,8.6,245685.15,AC100008
TXN83O56Y81PH,09:58:29,42030.6,Mumbai,ATM,60700.92,0,18670.32,Kotak,Kolkata North,Mobile,CUST55734339,Rahul Singh,46.0,Other,Bangalore,Verified,Current,2.8,189551.28,AC100009
UPIU9LZ5YZXU2,20:06:49,29374.06,Bangalore,Online,88054.76,0,58680.7,Kotak,Delhi Main,Mobile,CUST74021699,Rahul Singh,23.0,Other,Lucknow,Pending,Current,3.6,355039.79,AC100010
TXNE804YQM1LZ,23:03:06,15632.0,Bangalore,ATM,73886.66,0,58254.66,Axis,,ATM,CUST13715944,Sneha Gupta,24.0,Other,Bangalore,Pending,Savings,14.3,138942.66,AC100011
NEFT5X9PQRFBD0,05:38:29,7219.94,Mumbai,Online,85615.64,0,78395.7,Axis,Delhi Main,Web,CUST95364109,Amit Sharma,69.0,Female,Kolkata,,Salary,13.0,204864.61,AC100012
UPIL3GF998G7E,07:25:36,13361.59,Delhi,Online,21198.44,0,7836.8499999999985,Axis,Mumbai Central,Mobile,CUST71090728,Neha Joshi,31.0,,Lucknow,,Current,2.0,241392.97,AC100013
NEFTQYU8I9GGSB,06:59:44,30539.71,Mumbai,POS,29047.17,0,0.0,SBI,Mumbai Central,Web,CUST62778349,Rahul Singh,33.0,,Chennai,Pending,Savings,5.2,334348.73,AC100014
NEFT721ZU33600,04:15:38,44729.27,Dehradun,Online,98932.56,0,54203.29,Kotak,Bangalore East,,CUST01633524,Priya Verma,59.0,Female,Delhi,Verified,Savings,4.3,327227.58,AC100015
UPIVHF83495RZ,10:41:34,559568.3999999999,Mumbai,Online,10338.42,0,0.0,Kotak,Delhi Main,Web,CUST80054256,Sneha Gupta,50.0,Male,Mumbai,,Savings,11.3,219791.81,AC100016
UPIO1FQOS48JC,04:32:51,34543.48,Delhi,POS,41355.65,0,6812.169999999998,PNB,Delhi Main,ATM,CUST37098563,Sneha Gupta,69.0,Male,Mumbai,,Salary,0.0,159972.53,AC100017
IMPSL1FUYC7Z2Z,03:13:57,6204.97,Bangalore,ATM,20038.68,0,13833.71,,Chennai South,,CUST93130762,Neha Joshi,24.0,Female,Chennai,Pending,Current,13.5,255509.85,AC100018
TXN84VHWWHPA9,12:17:41,32532.19,Delhi,ATM,10395.94,0,0.0,,Kolkata North,ATM,CUST45703953,Amit Sharma,47.0,Male,Mumbai,Rejected,Savings,4.9,295993.24,AC100019
UPIJADUZALHRW,06:24:53,41899.4,Dehradun,ATM,98063.12,0,56163.72,Axis,Bangalore East,ATM,CUST27988819,Vikas Yadav,40.0,,Lucknow,,Savings,3.1,41453.74,AC100020
TXN8RYQP42AXH,23:43:12,9897.85,Delhi,POS,83671.53,0,73773.68,HDFC,Mumbai Central,ATM,CUST55084776,Vikas Yadav,61.0,Male,Kolkata,Rejected,Savings,3.1,199441.36,AC100021
UPII6TA9UWD6W,02:05:43,48377.19,Mumbai,ATM,85068.72,0,36691.53,PNB,Delhi Main,ATM,CUST02729261,Amit Sharma,45.0,,Bangalore,,Savings,8.3,301673.3,AC100022
UPIWZLVEJC3IZ,15:41:31,217.15,Mumbai,POS,31789.25,0,31572.1,SBI,Delhi Main,ATM,CUST56768038,Priya Verma,21.0,,Chennai,,Current,0.9,321135.41,AC100023
